pharmacy_id,city,street,house
1,Barbarafort,Marshall Ville,34
2,East Patrickville,Joseph Centers,7
3,Brianton,Robbins Drives,8
4,West Katherine,Cole Motorway,48
5,East Dylan,Powell Crescent,12
6,Mitchellport,Johnston Stream,7
7,Hendersonmouth,Duran Stravenue,12
8,Brianview,Michael Park,33
9,Joelmouth,Kelley Gateway,27
10,East Ianton,Robert Crescent,30
11,Brianstad,Wyatt Squares,10
12,Hoganfort,Anderson Wall,2
13,Hodgeview,Chavez Spurs,46
14,Michaelmouth,Andrea Ford,20
15,Kevinmouth,Levy Flats,21
16,Hudsonmouth,Hayes Avenue,50
17,Jenniferland,Howard Key,22
18,South Mary,Bailey Estates,36
19,Shirleyfort,Cameron Square,36
20,Maryborough,Lewis Cliff,50
21,Nicholsonburgh,Emma Groves,1
22,Joseton,Haas Circles,46
23,Davidview,Anita Viaduct,45
24,Heatherland,Beth Lodge,45
25,Jamesfurt,Adams Pine,47
26,North Annchester,John Avenue,15
27,West Richard,Jennifer Parkway,12
28,Port Manuelbury,Dustin Stream,19
29,Martineztown,Anthony Place,33
30,East Jameshaven,Johnson Harbors,34
31,Lake Sarahville,Jones Views,8
32,East Alexshire,Cynthia Ports,8
33,Reginaldton,Becker Mission,48
34,Kellymouth,Johnson Forest,10
35,East Samanthaton,Brett Shores,14
36,Lewismouth,Steve Terrace,15
37,Lake Danastad,Reese Overpass,47
38,Troychester,Gray Squares,7
39,Lake Travisside,Paul Passage,13
40,Veronicafort,Thomas Crossing,25
41,Caitlinland,Wiley Lock,13
42,Hallfurt,Romero Lake,25
43,Raymondmouth,Nicholas Hill,30
44,Garciaborough,Shannon Keys,6
45,Johnsonshire,Nathan Bridge,40
46,New Edward,Rebecca Drive,25
47,North Stephaniemouth,Alexander Shore,26
48,Barkerview,Jennifer Circles,5
49,Lisaburgh,Ruben Pass,40
50,Port Sarahfurt,Mendoza Centers,41
51,Longstad,Jennifer Track,11
52,Port Larry,Martin Ports,18
53,West Jessica,Dennis Stream,50
54,West Eileenport,Brian Throughway,50
55,West Seanville,Angela Falls,27
56,Georgeview,Alyssa Rapid,15
57,North Samantha,Simon Ports,8
58,South Holly,Harvey Square,44
59,Jamesberg,Sandra Park,43
60,West Dana,Lauren Extensions,44
61,Catherineborough,Romero Port,45
62,New Michael,Allison Mountains,7
63,Danielhaven,Mays Vista,22
64,Walkerfurt,Munoz Avenue,38
65,South Grantside,Matthew Hollow,25
66,Jesseport,Erika Falls,41
67,Tonystad,Lisa Mall,28
68,Garystad,Jones Street,11
69,Port Christineborough,Morton Ridge,34
70,Dickersonmouth,Stanley Spur,13
71,South James,Gould Bypass,35
72,New April,Kenneth Roads,13
73,Port Deborahfurt,Kirk Lodge,7
74,Harveyton,Steven Bridge,46
75,Lake Angelahaven,Karen Stream,26
76,Port Amanda,Benjamin Green,23
77,Ramirezhaven,David Prairie,23
78,Port Mialand,Hodge Isle,31
79,Wuview,Katie Ridges,31
80,Sparksburgh,Maurice Greens,39
81,Port Matthew,Hubbard Flats,11
82,New Jessica,Mcdowell Freeway,48
83,North Guyburgh,Rebecca Stravenue,10
84,West Colleenville,Timothy View,31
85,South Martin,Stacie Avenue,1
86,Blackstad,Rodriguez Trafficway,27
87,South Leslie,Laura Lock,18
88,New Greg,Rodriguez Isle,17
89,Ralphside,Hensley Shoal,23
90,New Derek,York Crest,27
91,Robertmouth,Reed Harbor,36
92,Lake David,Matthew Parks,13
93,Leport,Baldwin Orchard,38
94,Timothyport,Adams Unions,11
95,Joshuaburgh,Maria Villages,23
96,New Jason,Veronica Cliff,5
97,Hickmanbury,Myers Summit,15
98,Hendersonbury,Griffith Springs,4
99,New Jason,Douglas Centers,19
100,Port Nicholefurt,Shannon Islands,33
101,South Jillian,Karen Mountain,40
102,West Peter,Christopher Islands,43
103,Edwardstad,Nina Square,12
104,Port Sethtown,Amber Loop,37
105,West Courtneytown,Farley Mountain,14
106,Port Stephaniehaven,Michael Mission,3
107,Nelsonhaven,Hamilton Roads,29
108,Brewerview,Hess Hollow,25
109,Savageburgh,Reyes Well,45
110,Rossshire,Dominguez Turnpike,42
111,Stoneshire,Frazier Junctions,37
112,Port Keithton,Heather Throughway,11
113,Port Lance,Anna Viaduct,42
114,Wilkinsville,Tommy Knoll,42
115,Jonesmouth,Schmitt Curve,24
116,Brendaton,Adam Run,37
117,Jacksonview,Lynch Junctions,22
118,Zoeport,James Stravenue,1
119,Mortonton,Hendrix Vista,41
120,Lake Melissafort,Marsh Dam,22
121,Vaughnton,Sonya Oval,7
122,Ericberg,Prince Square,13
123,Davidshire,Simmons Village,24
124,New Melissa,Byrd Glens,12
125,Torresborough,Cisneros Views,32
126,Lake Margaret,Hernandez Dale,35
127,Mooreland,Riddle Fort,49
128,Heatherport,Martin Wall,34
129,Antoniobury,Harmon Prairie,43
130,Smithberg,Wright Drive,41
131,Robertchester,Lee Shoals,23
132,South Michaelberg,Soto Lights,41
133,East Teresa,Davis Mall,28
134,Robinsonhaven,Olson Circle,17
135,West Carrie,James Turnpike,37
136,Melaniemouth,Martinez Villages,31
137,Taylorburgh,Ferguson Union,47
138,Vanessaside,Lynn Gateway,9
139,Petersonville,Brown Village,1
140,Gardnerville,Rojas Passage,8
141,West Brian,William Bridge,19
142,Brownfort,Kimberly Courts,2
143,New Jessica,Avila Isle,11
144,Port Saraside,Karen Stream,40
145,Port Jerry,Brown Branch,43
146,East Cynthia,Perez Forges,15
147,Johnnyberg,Johnson Rapids,11
148,Aguilarview,Marissa Loop,2
149,Justinhaven,Young Meadows,41
150,Oconnellmouth,Gill Ridges,7
151,South Justin,Johnson Squares,21
152,New Annabury,Allison Vista,32
153,New Charles,Dominguez Lodge,21
154,Port Bryanmouth,Christian Port,48
155,Collierfort,Larson Stream,11
156,Hensleyview,Alex Points,44
157,West Joshua,Robert Landing,23
158,Alisonville,Laura Flat,43
159,Charleston,Thomas Oval,37
160,New Jeremyberg,Jonathan Mission,4
161,New Charlesville,Dodson Islands,25
162,Lake Christinaburgh,Fletcher Gardens,21
163,South Maria,Brian Run,32
164,Melissaton,Shawn Roads,4
165,West Brentmouth,Richard Mountains,42
166,Sandraview,Amy Park,3
167,Lake Sheilabury,Jacqueline Points,23
168,Arnoldland,Torres Port,31
169,Bradleystad,Munoz Ports,41
170,Benitezfurt,Everett Expressway,16
171,Shawnfort,Jordan Junction,26
172,Brandontown,Martinez Knolls,21
173,Harveyview,Knapp Fall,24
174,North Tamaramouth,Michael Stream,29
175,Lake Nicolestad,Mcmahon Ferry,43
176,Carmenshire,Michael Crossroad,43
177,North Michael,Garza Fall,21
178,South Margaret,Decker Mills,40
179,Lake Bobby,Carlson Mill,42
180,North Brandon,Jeffrey Springs,28
181,Port Kylefurt,Sarah Junctions,21
182,Port Kaylafort,Briana Groves,19
183,Port Tami,Todd Isle,38
184,Harveyberg,Stanley Fort,41
185,Jeanettemouth,Jorge Unions,1
186,Murrayfort,Kevin Mountains,24
187,North Joseph,Kevin Stream,45
188,Doyleburgh,Tucker Streets,25
189,Lake Jonathan,Christopher Terrace,21
190,North Jason,Thomas Lodge,6
191,Conwayfurt,Smith Stream,29
192,Monicafort,Johnson Avenue,7
193,Lake Tiffanyport,Sanders Dam,23
194,North Coreyborough,Boyd Street,50
195,Thomasbury,Daniels Mountain,39
196,Collinsbury,Mark Parkways,47
197,North Jill,Holden Valley,13
198,Port Amyside,Green Inlet,24
199,West Danielleport,Chris Squares,10
200,East Dean,Briggs Branch,46
201,West Davidshire,Dylan Canyon,9
202,Davidsonfurt,Tommy Haven,13
203,West Kimberlyland,Hodges Drives,3
204,Sullivanland,Hays Fall,10
205,Hollymouth,Brown Village,38
206,North Mariabury,Lewis Ports,44
207,Tracybury,Michael Ford,2
208,Christyville,Natalie Drive,33
209,Besttown,Chris Shore,23
210,Port Joshuaview,Elizabeth Mountain,21
211,Simpsonland,Hardy Gardens,28
212,East Brian,Day Island,24
213,Matthewstad,Weiss Court,25
214,Jamesside,Danielle Spring,50
215,West Alisha,Miguel Club,39
216,Thompsonview,Michael Ridge,49
217,South Michaelmouth,Kelly Garden,46
218,Samuelborough,Dawn Forest,33
219,Porterport,Ford Rapids,28
220,Jonathanside,Strickland Park,7
221,Marychester,Alyssa Lodge,14
222,Garrettstad,Craig Roads,11
223,Lake Christopherside,Kevin Inlet,46
224,Harrisonland,Pham Orchard,8
225,Port Jessica,Andrew Mount,4
226,Martinstad,Gonzalez Streets,48
227,Donnaton,Monica Ford,46
228,Alvinside,Linda Ferry,6
229,Amyville,Peterson Place,39
230,Casemouth,Blake Brook,15
231,East Jamieside,Amber Greens,47
232,Kingmouth,Rebecca Loaf,26
233,Nicholasbury,Preston Port,41
234,Port Nicolestad,Donald Rue,16
235,West Matthew,Jason Prairie,7
236,East Dan,Bennett Keys,8
237,Port Chad,Isaac Ford,40
238,Barrettview,Williams Flat,46
239,Justinmouth,Fritz Trail,17
240,East Sarahport,Dustin Extensions,50
241,Port David,Debra Radial,49
242,Jameston,Wang Course,49
243,North William,Yvonne Drive,46
244,Manningport,Jimenez Terrace,30
245,Lake Emilyshire,Robbins Ramp,12
246,Johnsonside,Kelly Divide,34
247,Mooretown,Michelle Squares,3
248,West Jennifer,Hayes Stream,16
249,Thomasfort,Henry Highway,45
250,South Jessicachester,Lisa Freeway,35
251,South Dana,Martinez Knoll,6
252,Edwardsmouth,Carol Ports,21
253,Warrenborough,Dennis Trace,18
254,North Alexanderton,Miller Drives,24
255,West Jessicaberg,Quinn Park,35
256,West Manuel,Potts Avenue,12
257,East Veronica,Wendy Locks,16
258,Vasquezton,Scott Circles,25
259,Port Kaitlin,Gregory Knoll,26
260,Jaredfort,Bennett Burgs,38
261,South Eric,Gerald Crest,13
262,Rayview,Matthew Mountain,7
263,West Robert,Smith Forge,25
264,Coxton,Murphy Trafficway,32
265,South Mary,Ryan Turnpike,20
266,Trevorside,Simmons Estate,1
267,North Luis,Santiago Club,13
268,Jonathanchester,Christina Walk,15
269,Floresbury,Rodriguez Centers,41
270,Bartonton,Matthew Mews,42
271,Kathyfort,Charles Ford,47
272,Solomonside,Williams Stream,37
273,Hunterville,Boyd Key,9
274,Sherriton,Evans Island,46
275,North Joshua,Jessica Ramp,37
276,Lake Michaelport,Davis Forge,40
277,Claytonside,Jo Junction,47
278,East Janet,Danielle Shores,50
279,Hicksport,Wagner Port,20
280,East Amandaside,Rogers Islands,8
281,South Jessica,Lambert Highway,40
282,Jameston,Dylan Creek,28
283,Charlesland,Campbell Locks,50
284,Jonesville,Jordan Coves,47
285,Taylorstad,Green Island,34
286,Port Scott,Rios Overpass,21
287,West Joelmouth,Christine Estate,11
288,South Michaelside,Vargas Parkway,4
289,South Evan,Chad Motorway,30
290,Mossbury,Allen Extension,26
291,East Davidhaven,Martinez Point,24
292,Ebonyfort,Michael Pine,39
293,North Joshuamouth,Glover Cliff,42
294,Port Saraberg,Alexa Points,36
295,New Jessica,Alexander Corners,4
296,New Scott,Wilson Flats,3
297,Lydiafurt,Compton Vista,46
298,Manuelton,Harris Expressway,16
299,North Paul,Boyd Unions,29
300,South Douglas,Brennan Lock,34
301,Leeshire,Elizabeth Dam,42
302,New Sethfort,Douglas Harbor,38
303,Russellland,Angela Mountains,22
304,Smithview,Long Camp,33
305,Alexishaven,Brenda Island,43
306,West Joshuaberg,Michael Junction,31
307,Baileyland,Anderson Shoals,39
308,Palmerberg,Allison Road,27
309,South Matthew,Mitchell Radial,35
310,Jessicafort,Danny Crossroad,24
311,Gomezberg,Montoya Pines,21
312,Port Kathy,Ortiz Coves,29
313,Patrickborough,Erik Expressway,6
314,South William,Christopher Wall,49
315,East Justinmouth,Marshall Mountain,31
316,Connieberg,Peterson Burgs,13
317,Barnettview,Miranda Manor,46
318,Piercestad,Rhodes Squares,3
319,South Justin,Jason Plains,11
320,New Taylorborough,Bailey Corners,46
321,New Lindastad,Lang Club,26
322,Cookmouth,Kathleen Flats,28
323,New Brandon,Jeffrey Corners,16
324,West Chadstad,Hall Garden,15
325,North Barbara,Olsen Haven,29
326,Griffinshire,West Run,39
327,East Michaeltown,Jarvis Row,45
328,South Stevenstad,Bond Keys,23
329,South Kaitlyn,Megan Key,40
330,Kimberlyfort,Rivera Pike,44
331,Erinland,Chad Trail,3
332,West Sheri,Carter Freeway,27
333,Cummingschester,Lauren Field,27
334,Acostamouth,Walker Pike,1
335,South Denise,Amanda Lake,30
336,Josephberg,Patricia Stream,4
337,Littlefurt,Moore Forks,17
338,Karenstad,Kent Mount,43
339,West Gregoryside,Jon Oval,20
340,Lake Charlesview,Jennifer Hill,16
341,Estradamouth,Alexandra Turnpike,41
342,Greggfurt,Escobar Hollow,23
343,Nicholaschester,Burke Rapid,4
344,Jonesstad,Rachel Mills,38
345,New Justin,Brown Ferry,32
346,Riveraberg,Lutz Turnpike,6
347,South Johnshire,Lauren Trafficway,20
348,Michaelchester,Bailey Flat,50
349,Jenniferchester,Susan Skyway,27
350,Lake Daniel,Robertson Crossing,10
351,West Scott,Reed Hill,10
352,East Laura,Beverly Green,16
353,South Ashley,Jennifer Tunnel,4
354,North Douglasville,Debra Estate,41
355,Peterport,Alexander Trafficway,42
356,West Danielle,Philip Loop,40
357,North Sydney,Valdez Motorway,45
358,South Ericaport,Hunter Street,8
359,West Billy,Harvey Locks,20
360,East Jason,Thomas Squares,11
361,New Levibury,Burnett Locks,8
362,North Micheleville,Clayton Courts,27
363,New Shannonberg,Theresa Crescent,15
364,New Frank,Williams Corner,47
365,Perezville,John Isle,10
366,New Michael,Emily Inlet,4
367,Patelland,Carlos Canyon,3
368,Parksfort,Thomas Shoals,12
369,Sarahport,Gates Junction,20
370,Courtneyfurt,Rachel Harbors,28
371,Reneemouth,Jessica Mill,24
372,Cherylmouth,Joshua Land,22
373,South Jenniferbury,Moody Extension,2
374,Rachelchester,Melinda Wall,10
375,Jameshaven,John Mission,49
376,New April,Sawyer Glens,29
377,Judithfort,Nancy Forest,29
378,West Sandrastad,Brian Fields,39
379,Williamsfurt,Hall Fort,43
380,New Samanthaberg,Norris Shores,28
381,North Kenneth,Lacey Isle,13
382,Port Samuel,Kimberly Burgs,24
383,Karenstad,Erin Row,29
384,East Jamesburgh,Mitchell Extension,20
385,Hubbardton,Shaw Mountain,47
386,South James,James Island,15
387,Gouldborough,Jeffery Drives,21
388,West Jeffborough,Middleton Port,18
389,Munozberg,Welch Mountains,43
390,Michellefort,Elizabeth Trail,50
391,Port Micheal,Sharon Ramp,32
392,South Paulstad,Christopher Hollow,18
393,Sanchezmouth,Reeves Plains,49
394,Tracyfort,Freeman Meadows,8
395,Simpsonland,Jennings Mountain,21
396,Johnsonberg,Mitchell Curve,33
397,East Victoria,Shawn Tunnel,21
398,West Sean,Kent Wall,13
399,South Joseph,Estes Valleys,48
400,Gallaghershire,Hall Dale,30
401,Lake Erica,Rodgers Corners,23
402,Washingtonhaven,Morrison Mall,40
403,Sotoside,Michelle Wells,45
404,Port Autumn,Santos Unions,44
405,West Cody,Kristopher Spur,35
406,Port Rachel,Leach Shoals,24
407,East Larryhaven,Lee Islands,1
408,Port Calvin,Jacob Fork,13
409,Port Jerryburgh,Thomas Trace,47
410,Port Bradley,Robert Junctions,13
411,Lake Andrewview,Smith Island,11
412,Haroldfort,Miller Ports,16
413,Lake Jacobfort,Holden Way,27
414,Tinaberg,Richard Summit,20
415,Nunezfort,Michael Rest,7
416,Parsonston,Marcus Radial,40
417,East Thomasmouth,Jeffery Spring,37
418,East Dominic,Briggs Centers,20
419,North Candacehaven,Phillip Viaduct,2
420,Laurafurt,Lewis Pine,11
421,Susanview,Chambers Manors,33
422,East Cheryl,Yoder Throughway,12
423,Martinezview,Thomas Causeway,33
424,Aarontown,Sandra Mews,12
425,Jillshire,Turner Inlet,42
426,Jenniferstad,Amy Street,36
427,Smithport,Kaufman Shoal,29
428,Kingmouth,Wheeler Gardens,13
429,Jacobmouth,Green Lakes,34
430,Port Alexis,Aaron Underpass,50
431,Greenberg,Dominique Light,42
432,Nicolemouth,Moore Mount,45
433,West Lisa,Perez Plains,12
434,Carolport,Bell Lakes,16
435,Wilcoxborough,Flores Islands,21
436,West Jennifer,Suzanne Keys,18
437,Annettemouth,Michelle Stream,42
438,Lake Lynn,Bradley Canyon,7
439,Paulport,Daniel Circle,33
440,East Michaelville,Alicia Knoll,8
441,Paulshire,Jones Center,25
442,West Shane,Karen Route,4
443,Lake Lisaland,Aguilar Run,16
444,Glassmouth,Jeremy Ville,47
445,Lake Jenniferside,Paige Wells,24
446,East Ashleyburgh,Kimberly Rue,10
447,Larrymouth,Hawkins Port,42
448,East Jorgestad,Ralph Trail,26
449,Davidsonberg,Debra Shoals,42
450,North Thomashaven,Vincent Crossing,37
451,Cherylland,Prince Avenue,43
452,Lindachester,Donna Overpass,9
453,Port Bobbyfort,Savage Camp,13
454,Nguyenfurt,Welch Lakes,21
455,Port Williamtown,Campbell Glens,19
456,Andersonstad,Clark Ramp,6
457,Davidside,Logan Springs,43
458,Jeremyshire,Harold Mount,32
459,South Thomas,Michael Glens,35
460,East Lisa,Julie Centers,23
461,Brewerburgh,Becker Lodge,24
462,Lake Catherine,Johnson Junction,25
463,South Stephenfort,Vasquez Dam,3
464,Michelleton,Smith Union,8
465,Brittneyborough,Robert Prairie,37
466,Wangbury,Nicole Vista,49
467,Williamstown,Olsen Mount,10
468,South James,Frank Wall,47
469,West Cindyton,Hawkins Extensions,3
470,Nancyport,Jackson Track,37
471,Port Margaretfurt,Morales Port,40
472,Michellechester,Roach Ville,46
473,Javiermouth,Medina Keys,3
474,Jamieport,Long Shoals,7
475,South Jeffreyland,Holland Camp,8
476,Matthewland,Bennett Branch,7
477,Hayesview,Joseph Point,42
478,East Robert,Bennett Underpass,10
479,North Aaronbury,Collins Port,44
480,South Christopherside,Shannon Freeway,20
481,Harrisbury,Smith Lake,36
482,New Daniel,Brandon Skyway,3
483,Juliaberg,Megan Points,45
484,Ronaldton,Stephen Port,40
485,Williamsbury,Diaz Wells,6
486,Ricemouth,Brian Cove,25
487,Emilymouth,Jack Mountains,25
488,Joshuamouth,Washington Flats,35
489,Williamsshire,Marsh Springs,34
490,Jeffreyfurt,Hernandez Lakes,45
491,North John,Taylor Inlet,30
492,Andrewtown,Shannon Crossroad,47
493,Gregoryborough,Sara Pines,34
494,Martinstad,Edwin Union,50
495,South Ashley,Ana Islands,6
496,North Arthur,John Inlet,49
497,Dawnfurt,Gary Ranch,35
498,West Patrick,Wilkins Heights,17
499,Loweryfurt,Mark Rest,10
500,Danielsbury,Emily Lodge,21
501,East Christophertown,Choi Junctions,24
502,Bakerfurt,Madison Key,29
503,East Josephberg,Torres Walks,27
504,Kevintown,West Drive,28
505,Mcknightchester,Jennifer Lane,18
